screening_id,source_inventory_line,requested_model_or_family,category,cell_type,model_scope_candidate,specific_source_identified,primary_source_title,doi,metadata_status,full_text_access_status,equation_evidence_status,parameter_evidence_status,code_identified,code_url,code_license_status,screening_status,exclusion_or_hold_reason,priority,last_checked
screen_0001,24,Lapicque integrate-and-fire,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0002,25,Leaky integrate-and-fire,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0003,26,Stochastic/noisy LIF,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0004,27,Exponential integrate-and-fire,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0005,28,Adaptive exponential integrate-and-fire,A1 Reduced point-neuron models,Neuron,cell_function,yes,Adaptive Exponential Integrate-and-Fire Model as an Effective Description of Neuronal Activity,10.1152/jn.00686.2005,verified,source_identified,bibliography_verified,not_verified,no,,not_assessed,promoted,,high,2026-07-23
screen_0006,29,Quadratic integrate-and-fire,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0007,30,Theta neuron,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0008,31,Izhikevich simple spiking-neuron model,A1 Reduced point-neuron models,Neuron,cell_function,yes,Simple model of spiking neurons,10.1109/tnn.2003.820440,verified,source_inspected,second_pass_checked,registered,yes,https://izhikevich.org/publications/spikes.htm,license_unclear,promoted,,high,2026-07-23
screen_0009,32,Adaptive-threshold LIF / ALIF,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0010,33,Allen GLIF1–GLIF5,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0011,34,Generalized linear point-process neuron,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0012,58,Hodgkin–Huxley 1952,A2 Conductance-based models,Neuron,cell_function,yes,A quantitative description of membrane current and its application to conduction and excitation in nerve,10.1113/jphysiol.1952.sp004764,verified,source_inspected,second_pass_checked,parameters_incomplete,no,,license_unclear,promoted,,high,2026-07-23
screen_0013,59,Morris–Lecar 1981,A2 Conductance-based models,Neuron,cell_function,yes,Voltage oscillations in the barnacle giant muscle fiber,10.1016/S0006-3495(81)84782-0,verified,source_identified,bibliography_verified,not_verified,no,,not_assessed,promoted,,high,2026-07-23
screen_0014,60,FitzHugh–Nagumo,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0015,61,Hindmarsh–Rose,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0016,62,Traub pyramidal-neuron model families,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0017,63,Wang–Buzsáki fast-spiking interneuron model,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0018,64,PV-like fast-spiking conductance models,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0019,65,SST/Martinotti-like conductance models,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0020,66,VIP-like interneuron models,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0021,67,LAMP5/neurogliaform/NDNF model families,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0022,68,Thalamic relay-cell T-type calcium models,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0023,69,Thalamic reticular-nucleus models,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0024,70,De Schutter–Bower Purkinje-cell model,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0025,71,Cerebellar granule-cell conductance models,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0026,72,D1/D2 medium-spiny-neuron model families,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0027,91,Rall cable model,A3 Cable and compartmental models,Neuron,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0028,92,Passive and active compartmental neuron models,A3 Cable and compartmental models,Neuron,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0029,93,Morphologically reconstructed neuron models,A3 Cable and compartmental models,Neuron,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0030,94,Naud active-dendrite two-compartment model,A3 Cable and compartmental models,Neuron,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0031,95,Larkum BAC-firing mechanism models,A3 Cable and compartmental models,Neuron,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0032,96,CA1 pyramidal dendritic integration models,A3 Cable and compartmental models,Neuron,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0033,97,CA3 pyramidal multicompartment models,A3 Cable and compartmental models,Neuron,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0034,98,Cerebellar Purkinje multicompartment models,A3 Cable and compartmental models,Neuron,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0035,99,Cerebellar granule multicompartment models,A3 Cable and compartmental models,Neuron,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0036,100,MRG double-cable myelinated-axon model,A3 Cable and compartmental models,Neuron,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0037,126,Tsodyks–Markram short-term plasticity,B Synaptic and plasticity models,Synapse,cell_function,yes,Neural Networks with Dynamic Synapses,10.1162/089976698300017502,verified,source_identified,bibliography_verified,not_verified,no,,not_assessed,promoted,,high,2026-07-23
screen_0038,127,AMPA conductance models,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0039,128,NMDA conductance models,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0040,129,Voltage-dependent magnesium block of NMDA receptors,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0041,130,GABA_A conductance models,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0042,131,GABA_B conductance models,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0043,132,Vesicle-pool and release-probability models,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0044,133,Song–Miller–Abbott STDP,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0045,134,Calcium-based LTP/LTD models,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0046,135,Graupner–Brunel calcium-plasticity models,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0047,136,Clopath voltage-based STDP,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0048,137,Homeostatic plasticity,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0049,138,Synaptic scaling,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0050,139,Metaplasticity,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0051,140,Heterosynaptic plasticity,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0052,141,Structural plasticity,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0053,142,Axonal conduction-delay plasticity,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0054,143,```,B Synaptic and plasticity models,Synapse,cell_function,no,,,not_applicable,not_applicable,not_applicable,not_applicable,no,,not_applicable,excluded,Malformed Markdown fence parsed from the source inventory; this row is not a model or model family.,medium,2026-07-23
screen_0055,161,De Young–Keizer IP3-receptor model,C1 Astrocyte calcium and IP3,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0056,162,Li–Rinzel reduced IP3-receptor calcium model,C1 Astrocyte calcium and IP3,Astrocyte,cell_function,yes,Equations for InsP3 Receptor-mediated [Ca2+]i Oscillations Derived from a Detailed Kinetic Model: A Hodgkin-Huxley Like Formalism,10.1006/jtbi.1994.1041,verified,source_identified,bibliography_verified,not_verified,no,,not_assessed,promoted,,high,2026-07-23
screen_0057,163,De Pittà G-ChI astrocyte model,C1 Astrocyte calcium and IP3,Astrocyte,cell_function,yes,Glutamate regulation of calcium and IP3 oscillating and pulsating dynamics in astrocytes,10.1007/s10867-009-9155-y,verified,source_inspected,second_pass_checked,parameters_incomplete,no,,license_unclear,promoted,,high,2026-07-23
screen_0058,164,Astrocyte calcium-induced calcium-release models,C1 Astrocyte calcium and IP3,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0059,165,Astrocyte calcium microdomain models,C1 Astrocyte calcium and IP3,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0060,166,Astrocyte calcium-wave reaction–diffusion models,C1 Astrocyte calcium and IP3,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0061,167,Gap-junction/IP3 diffusion astrocyte-network models,C1 Astrocyte calcium and IP3,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0062,168,Bergmann-glia calcium models,C1 Astrocyte calcium and IP3,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0063,169,Müller-glia calcium models,C1 Astrocyte calcium and IP3,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0064,184,Polykretis multicompartment astrocyte model,C2 Astrocyte morphology,Astrocyte,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0065,185,ASTRO / Savtchenko three-dimensional astrocyte model,C2 Astrocyte morphology,Astrocyte,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0066,186,Astrocytic microdomain local-plasticity model,C2 Astrocyte morphology,Astrocyte,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0067,187,Morphology-dependent astrocytic calcium models,C2 Astrocyte morphology,Astrocyte,cell_intrinsic,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0068,206,Halnes electrodiffusive astrocyte–extracellular-space model,C3 Astrocyte ion homeostasis,Astrocyte,cell_function,yes,Electrodiffusive Model for Astrocytic and Neuronal Ion Concentration Dynamics,10.1371/journal.pcbi.1003386,verified,source_inspected,equation_located,not_verified,no,,not_assessed,promoted,,high,2026-07-23
screen_0069,207,Astrocytic potassium spatial-buffering models,C3 Astrocyte ion homeostasis,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0070,208,Kir4.1-based potassium-uptake models,C3 Astrocyte ion homeostasis,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0071,209,Na+/K+-ATPase astrocyte models,C3 Astrocyte ion homeostasis,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0072,210,"Na+, K+ and Cl− concentration models",C3 Astrocyte ion homeostasis,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0073,211,Astrocyte–extracellular-volume models,C3 Astrocyte ion homeostasis,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0074,212,Cell-volume and osmotic astrocyte models,C3 Astrocyte ion homeostasis,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0075,213,Müller-glia potassium-siphoning models,C3 Astrocyte ion homeostasis,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0076,223,Astrocytic EAAT glutamate-uptake models,C4 Astrocyte metabolism,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0077,224,Glutamate–glutamine-cycle models,C4 Astrocyte metabolism,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0078,225,Astrocyte–neuron lactate-shuttle models,C4 Astrocyte metabolism,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0079,226,Glucose–lactate transport models,C4 Astrocyte metabolism,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0080,227,Astrocytic glycogen-metabolism models,C4 Astrocyte metabolism,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0081,228,Astrocyte–neuron energy-budget models,C4 Astrocyte metabolism,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0082,229,Oxygen- and glucose-limited neuron–astrocyte models,C4 Astrocyte metabolism,Astrocyte,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0083,243,Amato–Arnold ischemic-penumbra microglial population model,D1 Microglia population models,Microglia,cell_population,yes,Data-driven modeling and prediction of microglial cell dynamics in the ischemic penumbra,10.1016/j.mbs.2025.109549,verified,not_verified,bibliography_verified,parameters_incomplete,no,,license_unclear,bibliography_verified,Equation audit is not complete.,high,2026-07-23
screen_0084,244,Microglial inflammatory cytokine ODE models,D1 Microglia population models,Microglia,cell_population,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0085,245,Microglial activation–resolution feedback models,D1 Microglia population models,Microglia,cell_population,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0086,246,Microglial population growth and death models,D1 Microglia population models,Microglia,cell_population,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0087,247,Microglial state-transition models,D1 Microglia population models,Microglia,cell_population,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0088,274,ATP/P2Y12 microglial chemotaxis models,D2 Microglia spatial models,Microglia,cell_population,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0089,275,Microglial process-extension models,D2 Microglia spatial models,Microglia,cell_population,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0090,276,Microglial migration PDE models,D2 Microglia spatial models,Microglia,cell_population,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0091,277,Agent-based microglial migration models,D2 Microglia spatial models,Microglia,cell_population,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0092,278,Aβ chemotaxis and phagocytosis models,D2 Microglia spatial models,Microglia,cell_population,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0093,279,Microglial proliferation and plaque-response models,D2 Microglia spatial models,Microglia,cell_population,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0094,280,Myelin-debris phagocytosis models,D2 Microglia spatial models,Microglia,cell_population,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0095,301,TREM2–APOE models,D3 Microglia molecular models,Microglia,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
